error_rate,key_length,mismatch,noise,stability,label
0.14583333333333334,48,7.0,0.021267361111111115,0.8541666666666666,0
0.3076923076923077,52,16.0,0.09467455621301776,0.6923076923076923,1
0.3137254901960784,51,16.0,0.09842368319876971,0.6862745098039216,0
0.37735849056603776,53,20.0,0.1423994304022784,0.6226415094339622,1
0.25,56,14.0,0.0625,0.75,0
0.15789473684210525,57,9.0,0.02493074792243767,0.8421052631578947,0
0.18518518518518517,54,10.0,0.034293552812071325,0.8148148148148149,0
0.3684210526315789,57,21.0,0.13573407202216065,0.631578947368421,1
0.4528301886792453,53,24.0,0.2050551797792809,0.5471698113207547,1
0.32142857142857145,56,18.0,0.10331632653061226,0.6785714285714286,0
0.28,50,14.000000000000002,0.07840000000000001,0.72,1
0.19148936170212766,47,9.0,0.03666817564508827,0.8085106382978724,0
0.35294117647058826,51,18.0,0.12456747404844293,0.6470588235294117,1
0.25,44,11.0,0.0625,0.75,1
0.4716981132075472,53,25.0,0.22249911000355999,0.5283018867924528,1
0.41509433962264153,53,22.0,0.17230331078675687,0.5849056603773585,1
0.3137254901960784,51,16.0,0.09842368319876971,0.6862745098039216,0
0.24390243902439024,41,10.0,0.059488399762046396,0.7560975609756098,0
0.21621621621621623,37,8.0,0.04674945215485757,0.7837837837837838,0
0.32075471698113206,53,17.0,0.10288358846564613,0.679245283018868,1
0.36538461538461536,52,19.0,0.1335059171597633,0.6346153846153846,1
0.32608695652173914,46,15.0,0.10633270321361059,0.6739130434782609,1
0.25925925925925924,54,14.0,0.0672153635116598,0.7407407407407407,1
0.11538461538461539,52,6.0,0.013313609467455623,0.8846153846153846,0
0.22033898305084745,59,13.0,0.04854926745188164,0.7796610169491526,0
0.275,40,11.0,0.07562500000000001,0.725,1
0.325,40,13.0,0.10562500000000001,0.675,1
0.1836734693877551,49,9.0,0.03373594335693461,0.8163265306122449,0
0.24444444444444444,45,11.0,0.05975308641975308,0.7555555555555555,0
0.3333333333333333,63,21.0,0.1111111111111111,0.6666666666666667,1
0.3275862068965517,58,19.0,0.10731272294887038,0.6724137931034483,1
0.3333333333333333,45,15.0,0.1111111111111111,0.6666666666666667,1
0.2978723404255319,47,14.0,0.08872793119058396,0.7021276595744681,1
0.3,50,15.0,0.09,0.7,0
0.32142857142857145,56,18.0,0.10331632653061226,0.6785714285714286,1
0.08695652173913043,46,4.0,0.007561436672967863,0.9130434782608696,0
0.38,50,19.0,0.1444,0.62,1
0.3541666666666667,48,17.0,0.1254340277777778,0.6458333333333333,1
0.14583333333333334,48,7.0,0.021267361111111115,0.8541666666666666,0
